description,price,condo_fee,bedrooms,bathrooms,total_area_m2,vacancies,address,link
"Apartamento à Venda - Centro, 3 Quartos, 65 m2",310000,685,3,1,65,0,"Rua Riachuelo, Centro",/imovel/venda-apartamento-3-quartos-centro-zona-central-rio-de-janeiro-rj-65m2-id-2641175282/
Engenho de Dentro - Apartamento - 2 Varandas - Sala - 2 Quartos -Suíte - Dependências - Vaga - Prédi,310000,796,2,3,70,1,"Rua Catulo Cearense, Engenho De Dentro",/imovel/venda-apartamento-2-quartos-com-piscina-engenho-de-dentro-zona-norte-rio-de-janeiro-rj-70m2-id-2562013658/
Apartamento 2 quartos- Vicente de Carvalho,240000,450,2,2,60,1,"Avenida Vicente de Carvalho, Vaz Lobo",/imovel/venda-apartamento-2-quartos-com-playground-vaz-lobo-zona-norte-rio-de-janeiro-rj-60m2-id-2598553456/
Studio para venda possui 34 metros quadrados com 1 quarto em Santo Cristo - Rio de Janeiro - RJ,289000,300,1,1,34,0,"Avenida Professor Pereira Reis, Santo Cristo",/imovel/venda-studio-1-quarto-com-piscina-santo-cristo-zona-central-rio-de-janeiro-rj-34m2-id-2624052628/
Apartamento-À VENDA-Pechincha-Rio de Janeiro-RJ,298000,750,2,2,55,1,"Estrada Capenha, Pechincha",/imovel/venda-apartamento-2-quartos-com-piscina-pechincha-zona-oeste-rio-de-janeiro-rj-55m2-id-2589492919/
Apartamento 2 quartos com vaga na Taquara com entrada parcelada,255000,400,2,1,48,1,"Estrada Mapua, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-48m2-id-2529438284/
Apartamento para venda com 71 metros quadrados com 2 qts,600000,880,2,2,71,1,"Rua Luiz Carlos Sarolli, Recreio Dos Bandeirantes",/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-71m2-id-2620649321/
Apartamento para venda tem 72 metros quadrados com 3 quartos,495000,779,3,1,70,1,"Estrada do Bananal, Freguesia",/imovel/venda-apartamento-3-quartos-com-piscina-freguesia-rio-de-janeiro-rj-70m2-id-2527534176/
Apartamento a Venda - Engenho de Dentro,520000,1300,3,4,99,1,"Rua Doutor Bulhões, Engenho De Dentro",/imovel/venda-apartamento-3-quartos-com-piscina-engenho-de-dentro-zona-norte-rio-de-janeiro-rj-99m2-id-2524401793/
"Apartamento à venda, 55 m² por R$ 215.000,00 - Pechincha - Rio de Janeiro/RJ",215000,440,2,2,55,0,"Rua Professor Henrique Costa, Pechincha",/imovel/venda-apartamento-2-quartos-com-piscina-pechincha-zona-oeste-rio-de-janeiro-rj-55m2-id-2640415302/
RIO DE JANEIRO - Apartamento Padrão - IPANEMA,1690000,1210,2,2,65,0,"Avenida Henrique Dumont, Ipanema",/imovel/venda-apartamento-2-quartos-com-elevador-ipanema-zona-sul-rio-de-janeiro-rj-65m2-id-2628017621/
Engenho de Dentro - Condomínio Organizado - 2 Quartos - Dependência Completa - 1 vaga - JBM212616,220000,535,2,2,67,1,"Rua Camarista Meier, Engenho De Dentro",/imovel/venda-apartamento-2-quartos-com-churrasqueira-engenho-de-dentro-zona-norte-rio-de-janeiro-rj-67m2-id-2533985598/
Apartamento-À VENDA-Cachambi-Rio de Janeiro-RJ,200000,407,2,2,71,0,"Rua Honório, Cachambi",/imovel/venda-apartamento-2-quartos-com-interfone-cachambi-zona-norte-rio-de-janeiro-rj-71m2-id-2555107642/
Apartamento 02 quartos com lazer completo.,320000,710,2,2,61,1,"Rua Pernambuco, Engenho De Dentro",/imovel/venda-apartamento-2-quartos-com-churrasqueira-engenho-de-dentro-zona-norte-rio-de-janeiro-rj-61m2-id-2597030509/
"Cobertura com 3 quartos à venda, 92 m² por R$ 790.000 - Vila Isabel - Rio de Janeiro/RJ",790000,1311,3,3,92,2,"Rua Luís Barbosa, Vila Isabel",/imovel/venda-cobertura-3-quartos-com-churrasqueira-vila-isabel-zona-norte-rio-de-janeiro-rj-92m2-id-2639605389/
Apartamento para venda tem 60 metros quadrados com 2 quartos em Santo Cristo - Rio de Janeiro - RJ,491445,350,2,1,65,1,"Rua Equador, Santo Cristo",/imovel/venda-apartamento-2-quartos-com-piscina-santo-cristo-zona-central-rio-de-janeiro-rj-65m2-id-2628176884/
Apartamento 2 quarto em Piedade com lazer completo Pronto para Morar com entrada parcelada,260000,350,2,1,42,1,"Rua Goiás, Piedade",/imovel/venda-apartamento-2-quartos-com-piscina-piedade-zona-norte-rio-de-janeiro-rj-42m2-id-2539173133/
Apartamento para venda em Campo Grande,198500,100,2,1,70,1,"Rua Renato Gabizo, Campo Grande",/imovel/venda-apartamento-2-quartos-campo-grande-zona-oeste-rio-de-janeiro-rj-70m2-id-2629980348/
VENDO TERRENO DE 200 M² EM CONDOMÍNIO NO RIO DA PRATA DE CAMPO GRANDE 90 MIL,90000,,0,0,200,0,"Rua Cândida Rosa, Campo Grande",/imovel/venda-terreno-lote-condominio-campo-grande-zona-oeste-rio-de-janeiro-rj-200m2-id-2628806567/
Apartamento para venda tem 56 metros quadrados com 2 quartos em Vila da Penha - Rio de Janeiro - RJ,460000,528,2,2,56,1,"Rua Engenheiro Lafaiete Stockler, Vila da Penha",/imovel/venda-apartamento-2-quartos-com-piscina-vila-da-penha-zona-norte-rio-de-janeiro-rj-56m2-id-2606119106/
Apartamento para venda possui 91 metros quadrados com 3 quartos em Maracanã - Rio de Janeiro - RJ,965000,1250,3,2,91,1,"Rua Visconde de Itamarati, Tijuca",/imovel/venda-apartamento-3-quartos-com-piscina-tijuca-zona-norte-rio-de-janeiro-rj-91m2-id-2632749025/
Apartamento para venda tem 48 metros quadrados com 2 quartos em Vaz Lobo - Rio de Janeiro - RJ,163000,1,2,1,48,1,"Rua Lima Drumond, Vaz Lobo",/imovel/venda-apartamento-2-quartos-com-elevador-vaz-lobo-zona-norte-rio-de-janeiro-rj-48m2-id-2571071258/
APARTAMENTO 2 QUARTOS MARACANÃ,340000,950,2,2,80,1,"Rua Radialista Waldir Amaral, Maracanã",/imovel/venda-apartamento-2-quartos-com-elevador-maracana-zona-norte-rio-de-janeiro-rj-80m2-id-2581282798/
Rua Clara Nunes - Lindo apartamento - 1 quarto - Próximo ao Mercadão de Madureira,200000,430,1,1,47,1,"Rua Clara Nunes, Oswaldo Cruz",/imovel/venda-apartamento-1-quarto-com-piscina-oswaldo-cruz-zona-norte-rio-de-janeiro-rj-47m2-id-2544151195/
Apartamento em Marechal Hermes,220000,350,2,1,50,1,"Rua Salomão Filho, Marechal Hermes",/imovel/venda-apartamento-2-quartos-com-piscina-marechal-hermes-zona-norte-rio-de-janeiro-rj-50m2-id-2641209104/
"Apartamento para Venda em Rio de Janeiro, CAMPO GRANDE, 2 dormitórios, 1 banheiro, 1 vaga",115000,259,2,1,56,1,"Estrada do Tingui, Campo Grande",/imovel/venda-apartamento-2-quartos-com-churrasqueira-campo-grande-zona-oeste-rio-de-janeiro-rj-56m2-id-2581850075/
Apartamento para venda possui 54 metros quadrados com 2 quartos em Anil - Rio de Janeiro - RJ,309000,400,2,2,54,1,"Estrada do Engenho D'Agua, Anil",/imovel/venda-apartamento-2-quartos-com-piscina-anil-zona-oeste-rio-de-janeiro-rj-54m2-id-2527868314/
"Apartamento para Venda em Rio de Janeiro, Freguesia (Jacarepaguá), 2 dormitórios, 1 suíte, 2 banheir",355000,650,2,2,60,1,"Estrada Capenha, Freguesia- Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-piscina-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-60m2-id-2608614976/
APARTAMENTO 2 QUARTOS - PRONTO PARA MORAR - BARRA VILLAGE LAKES - RECREIO - RJ,700000,1,2,2,75,1,"Estrada Benvindo de Novaes, Recreio Dos Bandeirantes",/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-75m2-id-2515165318/
Méier - Varanda - Sala - 2 Quartos (1 Suíte)-Dependência Completa - 2 Vagas - JBM220188,430000,423,2,3,80,2,"Rua Isolina, Méier",/imovel/venda-apartamento-2-quartos-com-interfone-meier-zona-norte-rio-de-janeiro-rj-80m2-id-2559782954/
SPAZIO RECOLETA,360000,430,2,1,55,1,"Rua Monte Santo, Irajá",/imovel/venda-apartamento-2-quartos-com-piscina-iraja-zona-norte-rio-de-janeiro-rj-55m2-id-2633758882/
"Apartamento com sala, 3 quartos, vaga, em vila com segurança 24h, à venda, 80 m² por R$ 260.000 - Sã",260000,290,3,1,80,1,"Avenida Marechal Rondon, São Francisco Xavier",/imovel/venda-apartamento-3-quartos-com-cozinha-sao-francisco-xavier-zona-norte-rio-de-janeiro-rj-80m2-id-2620024119/
"Apartamento para Venda em Rio de Janeiro, Freguesia (Jacarepaguá), 2 dormitórios, 1 suíte, 2 banheir",364000,730,2,2,90,1,"Rua Mamoré, Freguesia- Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-academia-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-90m2-id-2620601725/
Aquagreen Residencial | Lindo 2 Quartos C/ Armários e Blindex,425000,10,2,2,65,1,"Avenida Olof Palme, Camorim",/imovel/venda-apartamento-2-quartos-com-piscina-camorim-zona-oeste-rio-de-janeiro-rj-65m2-id-2463065984/
"Casa à venda, 120 m² por R$ 460.000,00 - Taquara - Rio de Janeiro/RJ",460000,400,4,2,120,2,"Estrada do Cafundá, Taquara",/imovel/venda-casa-de-condominio-4-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-120m2-id-2640415984/
Condomínio apto 2qtos Campinho,200000,650,2,1,62,1,"Rua Teles, Campinho",/imovel/venda-apartamento-2-quartos-com-churrasqueira-campinho-zona-norte-rio-de-janeiro-rj-62m2-id-2580878513/
Casa de condomínio para venda com 2 suites no Pechincha,320000,600,2,3,80,1,"Estrada Pau-ferro, Pechincha",/imovel/venda-casa-de-condominio-2-quartos-com-piscina-pechincha-zona-oeste-rio-de-janeiro-rj-80m2-id-2616300329/
"SALA COMERCIAL - 26,25M² - PONTO NORTE - PILARES - RJ",190000,1,1,1,26,1,"Avenida Dom Hélder Câmara, Pilares",/imovel/venda-conjunto-comercial-sala-1-quarto-pilares-zona-norte-rio-de-janeiro-rj-26m2-id-2528377076/
Apartamento para venda com 80 metros quadrados com 2 quartos em Vila Isabel - Rio de Janeiro - RJ,385000,400,2,2,80,0,"Rua Maxwell, Vila Isabel",/imovel/venda-apartamento-2-quartos-vila-isabel-zona-norte-rio-de-janeiro-rj-80m2-id-2631419640/
APARTAMENTO DE 1QT NA R. DO COUTO - PENHHA,185000,400,1,1,48,1,"Rua do Couto, Penha",/imovel/venda-apartamento-1-quarto-com-elevador-penha-zona-norte-rio-de-janeiro-rj-48m2-id-2622665423/
Terreno em Condomínio - Anchieta - 200m²,260000,,0,0,1,0,"Rua São Pedro Nolasco, Ricardo de Albuquerque",/imovel/venda-terreno-lote-condominio-ricardo-de-albuquerque-zona-norte-rio-de-janeiro-rj-1m2-id-2609965135/
Apartamento para venda possui 70 metros quadrados com 3 quartos em Irajá - Rio de Janeiro - RJ,230000,200,3,1,70,0,"Rua Figueira da Foz, Irajá",/imovel/venda-apartamento-3-quartos-iraja-zona-norte-rio-de-janeiro-rj-70m2-id-2569551798/
Oportunidade 2 quartos Garden em Campo Grande,189900,250,2,1,52,1,"Estrada João Melo, Campo Grande",/imovel/venda-apartamento-2-quartos-com-piscina-campo-grande-zona-oeste-rio-de-janeiro-rj-52m2-id-2567147054/
"Apartamento com 2 quartos, 84m2, à venda em Rio de Janeiro, Recreio dos Bandeirantes",650000,1130,2,2,84,1,"Rua Silvia Pozzano, Recreio Dos Bandeirantes",/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-84m2-id-2611275409/
EXCELENTE APARTAMENTO 3 QUARTOS - 55M² - TAQUARA - JACAREPAAGUÁ - RJ,350000,341,3,1,55,1,"Estrada dos Teixeiras, Jacarepaguá",/imovel/venda-apartamento-3-quartos-com-churrasqueira-jacarepagua-zona-oeste-rio-de-janeiro-rj-55m2-id-2549682061/
"Apartamento para Venda em Rio de Janeiro, Vargem Pequena, 2 dormitórios, 1 banheiro, 1 vaga",240000,620,2,1,53,1,"Estrada dos Bandeirantes, Vargem Pequena",/imovel/venda-apartamento-2-quartos-com-piscina-vargem-pequena-zona-oeste-rio-de-janeiro-rj-53m2-id-2583691873/
"Sala à venda, 50 m² por R$ 330.000,00 - Vila Isabel - Rio de Janeiro/RJ",330000,950,0,2,50,1,"Boulevard Vinte e Oito de Setembro, Vila Isabel",/imovel/venda-conjunto-comercial-sala-com-elevador-vila-isabel-zona-norte-rio-de-janeiro-rj-50m2-id-2639572205/
Inhaúma - Rua Piragibe - Apartamento - Sala - 3 Quartos - 1 Vaga - JBCH32689,160000,305,3,1,60,1,"Rua Piragibe, Inhaúma",/imovel/venda-apartamento-3-quartos-com-cozinha-inhauma-zona-norte-rio-de-janeiro-rj-60m2-id-2533986379/
Casa em Condomínio-À VENDA-Praça Seca-Rio de Janeiro-RJ,290000,430,5,3,105,1,"Rua Florianópolis, Praça Seca",/imovel/venda-casa-de-condominio-5-quartos-com-cozinha-praca-seca-zona-oeste-rio-de-janeiro-rj-105m2-id-2617619848/
Apartamento-À VENDA-Taquara-Rio de Janeiro-RJ,379990,828,2,2,80,1,"Rua Professora Francisca Piragibe, Taquara",/imovel/venda-apartamento-2-quartos-com-cozinha-taquara-zona-oeste-rio-de-janeiro-rj-80m2-id-2633073565/
Oportunidade em Vicente de Carvalho,310000,408,3,3,90,1,"Avenida Vicente de Carvalho, Vicente de Carvalho",/imovel/venda-apartamento-3-quartos-com-interfone-vicente-de-carvalho-zona-norte-rio-de-janeiro-rj-90m2-id-2543444582/
Apartamento-À VENDA-Pechincha-Rio de Janeiro-RJ,248000,582,2,1,62,1,"Rua Caniu, Pechincha",/imovel/venda-apartamento-2-quartos-com-cozinha-pechincha-zona-oeste-rio-de-janeiro-rj-62m2-id-2563762198/
"Apartamento à Venda - Tijuca, 3 Quartos, 68 m2",525000,650,3,1,68,1,"Rua Conde de Bonfim, Tijuca",/imovel/venda-apartamento-3-quartos-com-piscina-tijuca-zona-norte-rio-de-janeiro-rj-68m2-id-2641427679/
"Apartamento com 3 dormitórios à venda, 56 m² por R$ 299.000,00 - Anil - Rio de Janeiro/RJ",299000,570,3,1,56,1,"Avenida Tenente-Coronel Muniz de Aragão, Anil",/imovel/venda-apartamento-3-quartos-com-cozinha-anil-zona-oeste-rio-de-janeiro-rj-56m2-id-2620197132/
Condomínio Jardim Sulacap - Linda casa linear 2 quartos 185m² - Oportunidade única !!!!,760000,0,4,2,185,4,"Rua Guachos, Jardim Sulacap",/imovel/venda-casa-de-condominio-4-quartos-com-piscina-jardim-sulacap-zona-oeste-rio-de-janeiro-rj-185m2-id-2549576691/
APARTAMENTO 02 QUARTOS - COND. VIA ALTO MAPENDI,335000,500,2,1,60,1,"Rua Mapendi, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-60m2-id-2619349156/
Apartamento para venda possui 143 metros quadrados com 2 quartos,298000,450,2,1,143,1,"Estrada dos Bandeirantes, Vargem Pequena",/imovel/venda-apartamento-2-quartos-com-piscina-vargem-pequena-zona-oeste-rio-de-janeiro-rj-143m2-id-2495395092/
APARTAMENTO C/ 2 QTS - PRÓXIMO AO SHOPPING CARIOCA,220000,256,2,1,60,0,"Rua Feliciano Pena, Vila da Penha",/imovel/venda-apartamento-2-quartos-com-interfone-vila-da-penha-zona-norte-rio-de-janeiro-rj-60m2-id-2598549422/
Apartamento para venda com 42 metros quadrados com 2 quartos em Jacarepaguá - Rio de Janeiro - RJ,276500,450,2,1,42,1,"Avenida Imperatriz Leopoldina, Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-piscina-jacarepagua-zona-oeste-rio-de-janeiro-rj-42m2-id-2629537798/
CIDADE JARDIM Apartamento 2 Quartos com suite .,599000,1100,2,2,70,1,"Avenida Vice-Presidente José Alencar, Barra da Tijuca",/imovel/venda-apartamento-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-70m2-id-2565050141/
Excelente 3qts com 100m² na Barra Bonita Recreio - ao lado do shopping,750000,1200,3,3,100,1,"Avenida José Luiz Ferraz, Recreio Dos Bandeirantes",/imovel/venda-apartamento-3-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-100m2-id-2632477670/
"Apartamento com 2 dormitórios à venda, 88 m² por R$ 559.000,00 - Andaraí - Rio de Janeiro/RJ",559000,1360,2,2,88,1,"Rua Amaral, Andaraí",/imovel/venda-apartamento-2-quartos-com-cozinha-andarai-zona-norte-rio-de-janeiro-rj-88m2-id-2631965498/
Apartamento Luxo Latitud Condominiun Design,1830000,1573,3,4,121,2,"Avenida Rosauro Estellita, Barra da Tijuca",/imovel/venda-apartamento-3-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-121m2-id-2576010646/
"Apartamento para Venda em Rio de Janeiro, Freguesia (Jacarepaguá), 2 dormitórios, 1 banheiro, 1 vaga",380000,800,2,1,71,1,"Avenida Geremário Dantas, Freguesia- Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-piscina-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-71m2-id-2633743014/
Apartamento Praça Seca / Valqueire,185000,510,2,1,68,1,"Rua Capitão Menezes, Praça Seca",/imovel/venda-apartamento-2-quartos-praca-seca-zona-oeste-rio-de-janeiro-rj-68m2-id-2581245597/
Apartamento para venda possui 62 metros quadrados com 1 quarto em Copacabana - Rio de Janeiro - RJ,1250000,985,1,1,62,0,"Rua Maracanaú, Copacabana",/imovel/venda-apartamento-1-quarto-com-piscina-copacabana-zona-sul-rio-de-janeiro-rj-62m2-id-2622519142/
RIO DE JANEIRO - Apartamento Padrão - Humaitá,650000,1580,3,2,88,1,Humaitá,/imovel/venda-apartamento-3-quartos-com-elevador-humaita-zona-sul-rio-de-janeiro-rj-88m2-id-2640314427/
Cascadura - vendo - apartamento - sala - 3 quartos - vaga,180000,446,3,1,54,1,"Avenida Ernani Cardoso, Cascadura",/imovel/venda-apartamento-3-quartos-com-churrasqueira-cascadura-zona-norte-rio-de-janeiro-rj-54m2-id-2626766863/
Apartamento-À VENDA-Maracanã-Rio de Janeiro-RJ,580000,729,3,3,108,0,"Praça General Portinho, Maracanã",/imovel/venda-apartamento-3-quartos-com-ar-condicionado-maracana-zona-norte-rio-de-janeiro-rj-108m2-id-2639346657/
"Apartamento à Venda - Engenho de Dentro, 2 Quartos, 65 m2",260000,615,2,1,65,0,"Rua E, Engenho De Dentro",/imovel/venda-apartamento-2-quartos-com-piscina-engenho-de-dentro-zona-norte-rio-de-janeiro-rj-65m2-id-2587907974/
"EXCELENTE COBERTURA - 101,21M² - 2 QUARTOS - GO QUINTINO - RJ",299000,1,2,1,101,1,"Rua Bernardo Guimarães, Quintino Bocaiúva",/imovel/venda-cobertura-2-quartos-com-piscina-quintino-bocaiuva-zona-norte-rio-de-janeiro-rj-101m2-id-2594319764/
Apartamento-À VENDA-Piedade-Rio de Janeiro-RJ,163000,160,2,1,64,1,"Rua Ana Quintão, Piedade",/imovel/venda-apartamento-2-quartos-com-cozinha-piedade-zona-norte-rio-de-janeiro-rj-64m2-id-2562086063/
Excelente oportunidade em Vargem grande - Aceita permuta de apartamento de menor valor,950000,300,3,5,300,2,"Estrada Antônio Barbosa, Vargem Pequena",/imovel/venda-casa-de-condominio-3-quartos-vargem-pequena-zona-oeste-rio-de-janeiro-rj-300m2-id-2573919078/
Apartamento à venda em Rio de Janeiro,1090000,1959,2,1,133,0,"Rua Constante Ramos, Copacabana",/imovel/venda-apartamento-2-quartos-copacabana-zona-sul-rio-de-janeiro-rj-133m2-id-2607940922/
Apartamento para venda possui 80 metros quadrados com 2 quartos em Camorim - Rio de Janeiro - RJ,750000,1000,2,3,80,1,"Avenida Olof Palme, Camorim",/imovel/venda-apartamento-2-quartos-com-piscina-camorim-zona-oeste-rio-de-janeiro-rj-80m2-id-2601151573/
Apartamento 2 quartos- Jardim América,180000,,1,1,50,0,"Rua Monsenhor Castelo Branco, Jardim América",/imovel/venda-apartamento-1-quarto-com-interfone-jardim-america-zona-norte-rio-de-janeiro-rj-50m2-id-2598553457/
"Rua Caruaru, nº 624, 303 Apartamento com 2 qu artos à venda, 76 m² por R$ 570.000 - Grajaú - Rio de",570000,1280,2,3,76,1,"Rua Campinas, Grajaú",/imovel/venda-apartamento-2-quartos-com-piscina-grajau-zona-norte-rio-de-janeiro-rj-76m2-id-2567872847/
"Casa com 3 quartos à venda, 90 m² por R$ 359.000 - Madureira - Rio de Janeiro/RJ",359000,80,3,2,90,2,"Rua Maria Lópes, Madureira",/imovel/venda-casa-de-condominio-3-quartos-madureira-zona-norte-rio-de-janeiro-rj-90m2-id-2631816566/
Apartamento á venda 3 quartos,169000,470,3,1,65,1,"Rua Heráclito Graça, Lins de Vasconcelos",/imovel/venda-apartamento-3-quartos-com-churrasqueira-lins-de-vasconcelos-zona-norte-rio-de-janeiro-rj-65m2-id-2627233689/
"APARTAMENTO 2 QUARTOS - 57,37M² - FIORE RESIDENCIAL - RIACHUELO - RJ",325000,646,2,2,57,1,"Rua Vinte e Quatro de Maio, Riachuelo",/imovel/venda-apartamento-2-quartos-com-piscina-riachuelo-zona-norte-rio-de-janeiro-rj-57m2-id-2507856681/
Excelente apartamento 2 quartos - Condomínio - Tomas Coelho,199000,339,2,1,45,1,"Praça Henrique Gonzales, Tomás Coelho",/imovel/venda-apartamento-2-quartos-mobiliado-tomas-coelho-zona-norte-rio-de-janeiro-rj-45m2-id-2542583984/
Casa de condomínio sobrado para venda com 390 metros quadrados com 5 quartos,1389990,795,5,5,390,2,"Rua Cordiline, Freguesia- Jacarepaguá",/imovel/venda-casa-de-condominio-5-quartos-mobiliado-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-390m2-id-2603881836/
"Casa à Venda - Vargem Grande, 3 Quartos, 125 m2",1250000,0,3,1,125,0,"Estrada do Sacarrão, Vargem Grande",/imovel/venda-casa-3-quartos-com-ar-condicionado-vargem-grande-zona-oeste-rio-de-janeiro-rj-125m2-id-2602660175/
Méier - Rua Salvador Pires - Apartamento Vazio Andar Alto Vista Livre Varanda - Vaga na Escritura -,320000,436,1,2,87,1,"Rua Salvador Pires, Méier",/imovel/venda-apartamento-1-quarto-com-churrasqueira-meier-zona-norte-rio-de-janeiro-rj-87m2-id-2560569746/
"Casa à venda, 182 m² por R$ 550.000,00 - Praça Seca - Rio de Janeiro/RJ",550000,35,3,3,182,1,"Rua Capitão Menezes, Praça Seca",/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-praca-seca-zona-oeste-rio-de-janeiro-rj-182m2-id-2640414478/
Engenho de Dentro - Rua Fernão Cardim - Apartamento Vista livre - 2 quartos - Varanda - Vaga escritu,245000,457,2,1,51,1,"Rua Fernão Cardim, Engenho De Dentro",/imovel/venda-apartamento-2-quartos-engenho-de-dentro-zona-norte-rio-de-janeiro-rj-51m2-id-2548345384/
"Apartamento para Venda em Rio de Janeiro, Taquara, 2 dormitórios, 1 banheiro, 1 vaga",240000,650,2,1,52,1,"Estrada Rodrigues Caldas, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-52m2-id-2572555079/
Flat para venda possui 80 metros quadrados com 2 quartos em Barra da Tijuca - Rio de Janeiro - RJ,1000000,1700,2,2,80,1,"Avenida Lúcio Costa, Barra da Tijuca",/imovel/venda-flat-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-80m2-id-2569347848/
"Cobertura à venda, 2 quartos, 2 vagas, Recreio dos Bandeirantes - RIO DE JANEIRO/RJ",800000,1450,2,3,140,2,"Avenida das Américas, Recreio Dos Bandeirantes",/imovel/venda-cobertura-2-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-140m2-id-2530240297/
Salas comerciais 1000 metros quadrados bairro Copacabana originalmente 34 aptos,12000000,,0,0,951,6,Copacabana,/imovel/venda-conjunto-comercial-sala-com-andar-inteiro-copacabana-zona-sul-rio-de-janeiro-rj-951m2-id-2438051486/
APARTAMENTO EM AGUA SANTA COM DOIS QUARTOS E VAGA.,180000,300,2,1,50,0,"Estrada Paulo de Medeiros, Água Santa",/imovel/venda-apartamento-2-quartos-com-guarita-portaria-agua-santa-zona-norte-rio-de-janeiro-rj-50m2-id-2635800069/
PENÍNSULA SAINT BARTH | Apartamento com 310 m² e 4 Suítes,4120000,3900,4,6,310,4,"Avenida Flamboyants da Península, Barra da Tijuca",/imovel/venda-apartamento-4-quartos-mobiliado-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-310m2-id-52862175/
Glória Residencial,,0,1,1,77,0,"Rua do Russel, Glória",/lancamento/venda-apartamento-4-quartos-gloria-zona-sul-rio-de-janeiro-rj-311m2-id-2629064516/
Insight Flamengo,561000,0,1,1,37,1,"Praia do Flamengo, Flamengo",/lancamento/venda-apartamento-1-quarto-flamengo-zona-sul-rio-de-janeiro-rj-71m2-id-2529790831/
Riachuelo 366 Corporate,169000,0,0,0,27,0,"Rua Riachuelo, Centro",/lancamento/venda-apartamento-centro-zona-central-rio-de-janeiro-rj-202m2-id-2531353380/
Rua Humaitá - Quarto e Sala Com Dependências - TOTAL INFRAESTRUTURA!!,790000,1290,1,2,75,1,"Rua do Humaitá, Humaitá",/imovel/venda-apartamento-1-quarto-com-piscina-humaita-zona-sul-rio-de-janeiro-rj-75m2-id-2634027453/
"Apartamento à venda, 78 m² por R$ 410.000,00 - Jardim Sulacap - Rio de Janeiro/RJ",410000,914,3,3,78,1,"Estrada Japore, Jardim Sulacap",/imovel/venda-apartamento-3-quartos-com-piscina-jardim-sulacap-zona-oeste-rio-de-janeiro-rj-78m2-id-2640417379/
Amplo apartamento com varanda,1480000,1600,3,3,136,0,"Rua República do Peru, Copacabana",/imovel/venda-apartamento-3-quartos-copacabana-zona-sul-rio-de-janeiro-rj-136m2-id-2637061886/
"Apartamento à venda Copacabana com 120 m² , 2 quartos 1 vaga.",1590000,1350,2,2,120,1,"Rua Aires Saldanha, Copacabana",/imovel/venda-apartamento-2-quartos-com-ar-condicionado-copacabana-zona-sul-rio-de-janeiro-rj-120m2-id-2596455257/
"Apartamento à venda, 4 quartos, 1 suíte, 1 vaga, Flamengo - RIO DE JANEIRO/RJ",1700000,1790,4,3,202,1,"Avenida Oswaldo Cruz, Flamengo",/imovel/venda-apartamento-4-quartos-com-ar-condicionado-flamengo-zona-sul-rio-de-janeiro-rj-202m2-id-2637861767/
Terreno-À VENDA-Taquara-Rio de Janeiro-RJ,2000000,,0,0,525,0,"Rua Bacairis, Taquara",/imovel/venda-terreno-lote-condominio-taquara-zona-oeste-rio-de-janeiro-rj-525m2-id-2599732961/
Apartamento-À VENDA-Botafogo-Rio de Janeiro-RJ,1780000,1371,3,2,93,1,"Rua Álvaro Ramos, Botafogo",/imovel/venda-apartamento-3-quartos-com-cozinha-botafogo-zona-sul-rio-de-janeiro-rj-93m2-id-2608081356/
Excelente 4 quartos na Gávea,2226000,1840,4,4,180,1,"Rua Marquês de São Vicente, Gávea",/imovel/venda-apartamento-4-quartos-gavea-zona-sul-rio-de-janeiro-rj-180m2-id-2560777961/
Apartamento em Rua Paula Brito - Andaraí - Rio de Janeiro/RJ,319750,295,2,2,67,0,"Rua Paula Brito, Andaraí",/imovel/venda-apartamento-2-quartos-com-ar-condicionado-andarai-zona-norte-rio-de-janeiro-rj-67m2-id-2633213764/
