neighborhood,city,description,price,condominio,iptu,area,bedrooms,suite,bathrooms,garage,link
Tijuca, Rio de Janeiro,"Apartamento em boa localização (próximo ao metrô S.F.Xavier e colado a Mariz e Barros). Entrar morar e ser feliz! Exclusivíssimo. Sala, 2 quartos, banheiro social (tudo com ótimos armários), copa cozinha com passa prato planejada, área de serviço fechada com porta de correr e dep. completa. Possibilidade de locação de vaga. Oportunidade! Venha conhecer e se apaixonar !!! obs endereço aproximado", 348000,868,771,64,2,0,2,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-rj-64m2-id-2639681118/
Leblon, Rio de Janeiro,"Apartamento no Bartô a venda em Avenida Bartolomeu Mitre   Leblon   Rio de Janeiro/RJApartamento para venda com 74 metros quadrados com 2 quartos em Leblon   Rio de Janeiro   RJApartamento em Condomínio alto padrão. Residencial com serviços ( piscina, sauna seca e a vapor, churrasqueira, academia) 74m² divididos em 2 quartos com armários (1 suíte) , banheiro suíte e banheiro social, varanda, cozinha com armários planejados e área de serviço. 1 vaga na escritura. Vazio, entrega imediata. Solicite visita virtual agora mesmo ou agende uma visita física.R$ 1.640.000Estou próximo do imóvel e podemos fazer rapidamente a visita.Eu me especializei nessa região e vou te ajudar a fazer um bom negócio e ter uma boa experiência na compra.Apartamento com 74m² localizado em Rio de Janeiro, Leblon com as características: Academia, Armários na cozinha, Armários no quarto, Armários nos banheiros, Banheiro de serviço, Bicicletario, Box de vidro, Chuveiro a gás, Ciclovia, Elevador, Espelho no banheiro, Gerador Elétrico, Jardim, Lavanderia, Massagem, Perto do Metrô, Piscina, Playground, Portaria 24h, Próximo a praia, Quarto de serviço, Salão de festas, Sauna, Sol da manhã, Tanque, Tomada 3 pinos, Varal de roupas, Varanda gourmet, Ventilador de teto, Vista livrePara falar comigo, pode clicar no botão ao lado ou pelo fone/WhatsApp O Bairro Leblon é um dos bairros mais charmosos e luxuosos da cidade do Rio de Janeiro. Localizado na Zona Sul da cidade, o Leblon é conhecido por sua beleza natural, suas praias, sua vida noturna e suas lojas de luxo.O Bairro Leblon foi fundado em 1812 e foi o primeiro bairro a ser urbanizado na cidade do Rio de Janeiro. Desde então, o bairro tem se destacado como um dos mais luxuosos e desejados da cidade.O Bairro Leblon oferece aos seus moradores e visitantes uma ampla variedade de atrações. A praia de Leblon é uma das mais belas da cidade, com águas cristalinas e areia branca. Além disso, o bairro conta com restaurantes, bares, lojas de luxo, cinemas, teatros, museus, parques e muito mais.O Bairro Leblon é o lugar ideal para quem procura um lugar luxuoso, seguro e cheio de atrações. Venha conhecer o Bairro Leblon e descubra por que é tão desejado por todos.Cansado de encontrar imóveis que não fazem seu estilo? Clique no botão ao lado e te ajudaremos nessa jornada pela busca do imóvel perfeito para você!A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhosAnúncio do corretor de imóveis Suzane Barbosa De Sousa CRECI: 41870", 1639080,1302,4010,74,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-leblon-zona-sul-rio-de-janeiro-rj-74m2-id-2630334472/
Botafogo, Rio de Janeiro,"Apartamento no Rua São Clemente a venda em Rua São Clemente   Botafogo   Rio de Janeiro/RJMuito bem localizado na Rua principal em frente ao metro estando a 3 minutos do shopping Botafogo e também perto de 4 supermercados principais, farmácias e da praia.Sala, cozinha, 2 quartos sociais e outro na dependência empregada, banheiro social e outro na dependência de empregada com suíte.Apartamento com vaga de garagem do condomínio, fundos, sol da manhã e andar alto sem barulho com vista para a Praia de Botafogo.Prédio monitorado por câmeras com portaria 24h, calmo com 6 apartamentos por andar, sendo 10 andares e 2 elevadores e parquinho para as crianças e salão de festas.Apartamento foi todo reformado, pintado em 2022, piso porcelanato polido, parte elétrica nova, aparelho de gás novo e janela nova, etc.Janelas grandes, Perto do Metrô, Sol da manhã, Vista livreApartamento com 70 metrosÉ uma grande oportunidade aqui em Botafogo.Eu quero te ajudar a fazer uma proposta que ficará bacana para os dois lados, e se precisar de financiamento, eu também posso te ajudar.Vamos marcar a visita? Fico próximo do imóvel e chego rapidinho!Se você está procurando um lugar para viver ou visitar, Botafogo é o lugar certo! Localizado na cidade do Rio de Janeiro, Botafogo é um dos bairros mais antigos da cidade, com mais de 200 anos de história.Botafogo oferece uma variedade de atrações para todos os gostos. Se você gosta de cultura, pode visitar o Museu de Arte Moderna, o Teatro Municipal ou o Museu de Arte Contemporânea. Se você gosta de esportes, pode visitar o Estádio do Maracanã ou o Parque Aquático de Botafogo. Se você gosta de gastronomia, pode experimentar os deliciosos restaurantes e bares da região.Além disso, Botafogo oferece aos seus moradores e visitantes uma vida tranquila e segura. A região é servida por uma excelente rede de transporte público, com ônibus, metrô e trens que conectam o bairro a outras partes da cidade.Se você está procurando um lugar para viver ou visitar, Botafogo é o lugar certo. Venha conhecer a história, a cultura e a beleza deste bairro único!Cansado de encontrar imóveis que não fazem seu estilo? Clique no botão ao lado e te ajudaremos nessa jornada pela busca do imóvel ideal!A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhosAnúncio do corretor de imóveis Ana Paula Barreto Da Cunha CRECI: 079480",0,612,1179,70,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-botafogo-zona-sul-rio-de-janeiro-rj-70m2-id-2632425177/
Gávea, Rio de Janeiro,"Apartamento sala grande,3 quartos sendo 1 suite,banheiro social,cozinha grande,area de serviço,dependençia completa de empregada e vaga de garagem na escritura.Rua nobre e com guarita proximo PUC.Aceita proposta.Documentaçao 100% Agende sua visita, / CRECI RJ", 1670000,1350,498,133,3,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-acesso-24-horas-gavea-zona-sul-rio-de-janeiro-rj-133m2-id-2526998287/
Engenho da Rainha, Rio de Janeiro,"Só aqui, você e sua família tem o conforto que merecem!! Venham para o Almir Napoleão Imóveis!!Vende se apartamento no Condomínio do MilComposta por:. Sala;. 2 Quartos;. Cozinha;. Banheiro;. e Área de serviço;. Local: Engenho da RainhaPróximo a supermercados, hortifrutis, farmácias,escolas, creches, academias, Igrejas, metrô e farta condução.. Valor: 165 Mil. Mais Informações:   Bruno   Alex  ", 165000,0,0,10,2,0,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-engenho-da-rainha-zona-norte-rio-de-janeiro-rj-10m2-id-2608907118/
Jardim Guanabara, Rio de Janeiro,"Privilégio Imóveis vende: Excelente cobertura ,3 quartos ,mais uma excelente dependência de empregada.Todos suítes .Salão em 3 ambientes .Com jardim de inverno.Acesso para varandão ,mais de 17m² ,que dá acesso a suíte master e a sala de convidados.Dando acesso para churrasqueira ,cozinha ampla e área de serviço.Um lavabo ,um dos quartos ,possui um pequeno escritório . Existe a possibilidade de alguns móveis ficarem no apartamento.Quatro excelentes vagas marcadas e soltas , no início do estacionamento.", 1699000,700,8006,286,3,1,4,4,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jardim-guanabara-ilha-do-governador-rio-de-janeiro-rj-286m2-id-2635883580/
Leblon, Rio de Janeiro,"Aproveite a vida aqui! Na quadra da praia do Leblon, formidável cobertura duplex com vista para o mar, charmosa e super clara, composta de: 1º Piso   Salão de estar, sala de jantar, piso de madeira em tábuas corridas, lavabo, escritório com fácil reversão para 4 quarto, 3 quartos sendo 1 suíte repletos de armários, banheiro social, copa cozinha equipada com armários, área de serviço e dependências completas; 2º Piso   Sala para 2 ambientes se abrindo para um amplo terraço com vista para o mar, sauna, chuveirão, lavabo e cozinha de apoio. E mais direito ao uso da lage, aproximadamente 45 metros de Solarium que não constam no IPTU. 3 vagas de garagem na escritura. Prédio com portaria 24 horas, segurança e playground, próximo ao metrô, ótimos restaurantes, supermercados e comércio em geral. Agende sua visita com a Direção Imobiliária! Avaliamos seu imóvel. HB50057LEB1  Rev.03Jul", 7500000,2490,1760,264,4,1,5,3,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-leblon-zona-sul-rio-de-janeiro-rj-264m2-id-2639506036/
Copacabana, Rio de Janeiro,"Excelente imóvel com ótima planta em Copacabana. Salão amplo, 3 quartos grandes, sendo 1 suíte , cozinha cabe tudo, banheiro espaçoso e dependências completas. O imóvel possui uma vaga na garagem. Ligue e agende sua visita.", 1200000,700,3046,116,3,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-copacabana-zona-sul-rio-de-janeiro-rj-116m2-id-2567166538/
Ipanema, Rio de Janeiro,"Prédio com excente apresentação, frente gradeada, recuado, circuito de monitoramento por câmeras, portaria ampla e com excelente apresentação. elevadores modernos, amplo play, salão de festas e academia.  Apartamento com ótima planta, vista agradável para rua e árvores, distribuído em ampla sala com piso em táboas corridas, amplas janelas. Circulação, três bons quartos com piso em madeira, armários embutidos, banheiro social e suíte com azulejo ao teto e piso cerâmica. Cozinha ampla com piso cerâmica e azulejo ao teto, área de serviço e dependência de empregada. Vaga de garagem na escritura. Excelente localização, segunda quadra da praia e no mais valorizado de Ipanema, próximo aos melhores restaurantes, lojas de grifes, bancos e tudo de melhor que o bairro de Ipanema oferece. Cod:JBIPA33633  Rev.03Jul", 2600000,2882,627,119,3,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-ipanema-zona-sul-rio-de-janeiro-rj-119m2-id-2640388757/
Ipanema, Rio de Janeiro,"morar em frente a lagoa num imovel andar alto ,3 quartos sendo uma suite com closet sendo que um dos quartos foi revertido para aumentar a sala ficando em dois ambientes todos os comodos do imovel com vista livre lagoa e cristo ,possuo uma vaga na escritura com rgi critalino e entrar e morar ficou curioso venha me conhçer e apreçiar essa minha linda vista.A Mais Veloz Imóveis conta com uma equipe pronta para lhe atender, com as melhores ofertas e os melhores profissionais do mercado. Para nós, não é só vender imóveis. Por isso, estamos contigo na busca do seu sonho, de forma humanizada e veloz. Acesse outras oportunidades em nosso site e Instagram e agende sua visita! *Os valores estão sujeitos a alterações sem prévio Cod:LAAP33631  Rev.03Jul", 1980000,1900,1900,97,3,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-ipanema-zona-sul-rio-de-janeiro-rj-97m2-id-2628720759/
Anil, Rio de Janeiro,"Aprovamos seu financiamento gratuitamente. Orientação com um dos nossos corretores.   JBJ201927   Apartamento em condomínio vista livre, sala, 2 quartos, 1 dos quartos com iluminação indireta, banheiro social com armários e blindex, cozinha com armários, área de serviço, piso cerâmica claro.   1 vaga de garagem;   Condomínio com portaria 24 horas, salão de festas, churrasqueira e quadra;   Próximo as vias de acesso. Nosso horário de atendimento é de segunda a sexta feira das 9h às 18h. Sábado e feriado de 9h às 15h. Domingo Home Office. Agende sua visita! CJ2410   Acesse nosso site e veja mais ofertas: https://www.juliobogoricin.com/ Avaliamos seu imóvel gratuitamente...  Rev.03Jul", 180000,367,19,46,2,0,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-anil-zona-oeste-rio-de-janeiro-rj-46m2-id-2598092618/
Tijuca, Rio de Janeiro,"Apartaemnto na Praça Xavier de Brito! Sala ,3 quartos com armários,um podendo ser suite, banheiro social com blindex, lavabo, cozinha com armários,área de serviço edependência completa. Claro,arejado e silencioso. 1 vaga na escritura. Portaria 24h Cod:NTAP32087  Rev.03Jul", 530000,1045,1581,85,3,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-tijuca-zona-norte-rio-de-janeiro-rj-85m2-id-2603360682/
Copacabana, Rio de Janeiro,"Ressignifique o conceito de viver em um país tropical, encontre a paz e tranquilidade no meio de Copacabana. Não importa se você está procurando um lugar para morar ou investir, o Residencial Peixoto é a escolha ideal. Em estágio de relançamento, este prédio histórico oferece uma combinação única de apartamentos reformados e mobiliados em um edifício que carrega em si a tradição de Copacabana protegida pelo INEPAC. Situado no Bairro Peixoto, com apenas 25 unidades, esta é a opção perfeita para você. 35m², sala com prateleira, painel de TV e split; cozinha americana com armários, forno embutido, cooktop 4 bocas, 1 suíte com armários, split e box com blindex. Todos os acabamentos são novos, incluindo as instalações elétricas e hidráulicas, armários planejados Romanzza, design de interiores único e inspirador, assinados pelo nosso time de arquitetura. 1 elevador e possibilidade de comprar vaga no prédio (apenas 10 disponíveis). Lazer e comodidades: Área gourmet completa para receber a família e amigos; porta com fechadura eletrônica; infraestrutura para carro elétrico na garagem e bicicletário com carregamento elétrico. Não perca essa oportunidade! Cod:NIAP10854  Rev.03Jul", 665000,560,917,44,1,1,1,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-copacabana-zona-sul-rio-de-janeiro-rj-44m2-id-2617254708/
Grajaú, Rio de Janeiro,"Código MZ17351. Grajaú. Rua Araxá. Localização fantástica nesse maravilhoso bairro, próximo a charmosa Praça Edmundo Rêgo e comércio da região. Casa diferenciada, excelente distribuição dos cômodos, armários de qualidade( Madeira Naval), circuito de câmeras internas e externas(Acesso remoto via Internet), pisos em madeira e porcelanato, iluminação direta e indiretas, linda porta italiana que permite acesso ao imóvel, hall de entrada, varanda, sala de estar, sala de tv, sala de jantar, escritório, prataria, 4 ótimos quartos, 1 suíte para hóspede e com varanda, 3 banheiros sendo 1 com hidromassagem e ambos com acabamento em mármore, lavabo, salão de jogos, jardim de inverno com cobertura em metalaon/policarbonato, área externa com churraqueira, bar e piscina hidromassagem para 8 pessoas, cozinha, dependências( área, banheiro e quarto de serviço) e vaga coberta para 2 carros. Agende sua visita. 3baa2", 1300000,0,3296,334,5,1,5,3,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-churrasqueira-grajau-zona-norte-rio-de-janeiro-rj-334m2-id-2638391486/
Freguesia (Jacarepaguá), Rio de Janeiro,"CONDOMÍNIO FREEDOM FREGUESIA  Estrada do Guanumbi, 630  Freguesia   Ótimo Apartamento com 82m² de 3 quartos, sendo 1 suíte,  Ampla Sala em 2 ambientes,  Ampla Varanda com vista livre e cortina de vidro,  Cozinha Americana com armários planejados,  Área de serviço,  2 Banheiros com blindex instalados,  Piso porcelanato,  1 Vaga de Garagem.    FOTOS REAIS   LIGUE E AGENDE SUA VISITA:    Ligações e Whatsapp   Creci: 8726/0   REALIZAMOS APROVAÇÃO DE CRÉDITO NO MESMO DIA      Acabamentos: Porcelanato, Rebaixamento de Gesso,     Características: Ar Condicionado, Móveis Planejados,     Cômodos: Área de Serviço, Cozinha, Suíte,     Infraestrutura: Academia, Brinquedoteca, Churrasqueira, Cinema, Home Office, Mercadinho, Piscina, Quadra Poliesportiva, Salão de festas, Spa / Sauna, Salão de Jogos,     Proximidades: Bares e Restaurantes, Escola, Farmácia, Shopping Center, Supermercado, Fácil Acesso, Praia,   Observação: Condomínio com infraestrutura completa: Playground, Piscina, Churrasqueira, Quadra esportiva, Academia, Salão de festas, Sauna, Espaço gourmet na área comum, Brinquedoteca, Piso tátil, Rampas de acesso, Vaga de garagem acessível, Área verde, Elevador, Portaria 24h.   Pontos Fortes: VISTA LIVRE  CARANDA COM CORTINA DE VIDRO", 434000,860,135,82,3,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-82m2-id-2628217801/
Vila Isabel, Rio de Janeiro,"Apartamento com 2 dormitórios à venda, 117 m² por R$ 450.000 / Vila IsabelImóvel. Apartamento vazio de frente, composto por sala ampla em três ambientes, (podendo converter um dos ambientes em terceiro dormitório) 2 dormitórios , banheiro social, cozinha com armários, área de serviço e dependência completa de empregada com uma pequena área externa. Hidráulica e elétrica refeita. Imóvel todo reformado, 2 vagas de garagem sendo uma coberta e outra descoberta.Documentação. OK. Aceita FGTS e Financiamento bancário.Localização. Localização privilegiada na na Av. 28 de Setembro (longe da comunidade). Bem próximo a colégios, padarias, restaurantes, farmácias e farta condução local.Prédio. com 3 andares sendo um 1 apartamento por andar.Condomínio. R$ 200,00Avaliamos o seu imóvel.Informações confirmadas em tresdeabril  ",0,200,186,117,2,0,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-vila-isabel-zona-norte-rio-de-janeiro-rj-117m2-id-2625746750/
Santa Teresa, Rio de Janeiro,"O Terreno em lote em declive com 371m², disponível para venda na Privilégio Imóveis. Tem uma excepcional vista para centro da cidade e Baía de Guanabara. O preço do imóvel poderá ser alterado sem aviso prévio. Fale conosco no whatsapp: .Ligue e agende sua visita   código 31941.", 700000,0,1801,371,0,0,0,0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-santa-teresa-zona-central-rio-de-janeiro-rj-371m2-id-2639113768/
Maracanã, Rio de Janeiro,"Maracanã. Rua Visconde de Itamarati. Excelente localização, próximo ao comércio da região, Supermercados, restaurantes, hospitais, padarias, loterias, drogarias, Estádio do Maracanã, fácil acesso, farta condução. Condomínio com boa apresentação, interfone, elevador. Ótimo apartamento, claro e arejado, sala em 2 ambientes, 2 quartos, sendo 1 suíte, cozinha espaçosa com armários, banheiro social com box em blindex, área de serviço. 1 vaga de garagem. *Preços, condições e disponibilidade dos imóveis anunciados neste site sujeitos à alterações e confirmação. Venha conhecer! Curta nossa página no Facebook, siga nos no Instagram e acesse nosso site para mais ofertas. Cod:BTAP20679  Rev.03Jul",0,886,81,69,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-maracana-zona-norte-rio-de-janeiro-rj-69m2-id-2617120537/
Jardim Botânico, Rio de Janeiro,"Privilegio Imóveis Vende: Casa tríplex 7 quartos, com elevador que atende os 3 andares em área nobre do Jardim Botânico.Casa composta por jardim na entrada da casa, salão com varanda interna, 2 salas de jantar, lavabo, cozinha, área de serviço, lavanderia e dependências completa escada e elevador com acesso ao 2º pavimento. 7 quartos sendo um suíte, 2 banheiros sociais, sala ampla em 3 ambientes e acesso a jardim interno, no 3º pavimento garagem para 5 carros, quarto de estudos, banheiro de serviço e acesso ao sótão.O imóvel poderá sofre alterações sem aviso prévio conforme solicitação do proprietário.", 7000000,0,12148,479,7,1,6,5,https://www.zapimoveis.com.br/imovel/venda-casa-7-quartos-com-varanda-jardim-botanico-zona-sul-rio-de-janeiro-rj-479m2-id-2637858986/
Copacabana, Rio de Janeiro,"Privilégio imóveis vende: excelente oportunidade de sala comercial em Copacabana, super bem localizada, ao lado do metrô Cantagalo. Sala totalmente reformada, com 35 m². Atualmente está dividida em sala de espera, dois amplos consultórios e um banheiro . Oportunidade única !!", 350000,729,2478,35,0,0,1,0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-ar-condicionado-copacabana-zona-sul-rio-de-janeiro-rj-35m2-id-2637860626/
Copacabana, Rio de Janeiro,"Excelente apartamento em área nobre de Copacabana. Sala ampla com espaço suficiente para ser revertido em terceiro quarto. 2 quartos grandes com armario embutido em perfeitas condições. Um dos quartos pode ser revertido para suíte. Banheiro todo azuleijado em piso frio, box blindex. Cozinha com espaço para geladeira e fogão. Área de serviço e dependência completa. Cod:CPAP21291  Rev.04Abr", 1550000,1500,478,140,2,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-copacabana-zona-sul-rio-de-janeiro-rj-140m2-id-2546886415/
Copacabana, Rio de Janeiro,"Privilégio Imóveis Vende: Apaixonante apartamento composto por quarto amplo com closet, banheiro com box e chuveiro eletrico, saleta e cozinha americana com área de serviço integrada. Apartamento possui possibilidade de área externa, com porta ja feita. Imovel espetacularmente claro e arejado com janelas anti ruído e elétrica e hidraulica reformadas, vista livre para a praça do Lido e lateral mar. O sol percorre todo o apartamento durante o dia. Portaria 24h e prédio muito bem administrado, proximo a farto comércio, na quadríssima da praia.", 800000,590,1345,50,1,0,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-copacabana-zona-sul-rio-de-janeiro-rj-50m2-id-2637862829/
Barra da Tijuca, Rio de Janeiro,"APARTAMENTO WONDERFUL OCEAN SUITES INDEVASSÁVEL COM VISTA PANORÂMICA PARA O MAR CONDOMÍNIO COM TOTAL INFRAESTRUTURA E SERVIDÃO DIRETA PARA A PRAIA! VARANDA LIVING EM 2 AMBIENTES LAVABO 2 SUITES COM ARMÁRIOS COPA COZINHA MONTADA ÁREA DE SERVIÇO E UMA GRANDE DEPENDÊNCIAS DE EMPREGADASO apartamento está localizado no bairro Barra da Tijuca tem 97 metros quadrados com 2 quartos sendo 2 suites e 3 banheirosPossui academia, espaço gourmet, espaço jardinado, área de recreação infantil, espaço para festas.Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.Espaço reservado para preparar o seu churrasco.Elevador que garante o transporte das suas malas e compras.Encontra se na privacidade de um condomínio fechado.", 1350000,1420,290,97,2,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-97m2-id-2638575212/
Botafogo, Rio de Janeiro,"Real UP Vende: Imóvel comercial, com 302m², 2 andares, planta aprovada na prefeitura para construir de 3 a 5 andares nos fundos do terreno. Fachada tombada. Jardim de inverno.Mais sobre Botafogo   Tem como ponto principal a baía em forma de meia lua e a praia, ambas com o mesmo nome do bairro e vista para o Pão de Açúcar. Fora da orla, os arranha céus cedem espaço para ruas arborizadas com cinemas, bistrôs inovadores e shopping centers, além de refúgios modernos com bares descolados e casas noturnas alternativas. O Museu do Índio, situado em uma casa do século 19 com jardins, exibe artefatos indígenas. Nas proximidades, é possível ter uma vista panorâmica da cidade no alto do Morro Dona Marta.Ligue e agende sua visita!Atenção: Os preços e taxas podem sofrer alterações sem aviso prévio. As mobílias não estão incluídas, exceto para imóveis que possuem informação específica que são mobiliados. Considerando a rotatividade dos imóveis é possível que existam imóveis no site que já tenham sido vendidos ou alugados.", 2200000,0,25906,302,1,0,6,2,https://www.zapimoveis.com.br/imovel/venda-casa-com-ar-condicionado-botafogo-zona-sul-rio-de-janeiro-rj-302m2-id-2588385518/
Copacabana, Rio de Janeiro,"ZYGEL imóveis vende apartamento frontal ao mar na Av. Atlântica no Leme. Apartamento com 175m² bem distribuídos. Salão, sala de jantar, 3 quartos sendo uma suíte master. Banheiro social amplo podendo fazer lavabo. Cozinha, área de serviço e dependências completas de empregada. Não tem vaga de garagem. Prédio sem comércio embaixo. Portaria 24 horas. Ligue para a Zygel imóveis e agende uma visita.  ", 3000000,2057,750,175,3,1,2,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-leme-zona-sul-rio-de-janeiro-rj-175m2-id-2576845303/
Grajaú, Rio de Janeiro,"Aceitamos financiamento e FGTS. Espetacular apartamento em rua nobre do bairro, composto por sala em dois ambientes, três dormitórios sendo um suíte com armários, circulação, banheiro com azulejo ao teto e box blindex, copa cozinha, área ampla e dependência de empregados. Uma vaga de garagem condominio garantida. Dois lances de escadas. Imóvel todo claro, arejado. Podendo utilizar a laje. Próximo a praça Edmundo Rego e a Reserva Florestal do Grajaú. Avaliamos gratuitamente seu imóvel. Agende uma visita com um de nossos corretores.   Ref.: REO834564",0,560,79,93,3,1,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-grajau-zona-norte-rio-de-janeiro-rj-93m2-id-2639457279/
Penha, Rio de Janeiro,"Aceitamos financiamento e FGTS. Apartamento amplo e arejado. Composto de: Sala ampla em dois ambientes, varanda, dois dormitórios, banheiro social com box blindex, cozinha com armários, área de serviço acoplada e banheiro de empregada. Imóvel em piso cerâmica e azulejo nas partes frias. Prédio com interfone, portaria 24 hrs, dois elevadores, salão de festas, play,circuito interno de vigilância e uma vaga de garagem na escritura. Agende sua visita com um de nossos corretores. Avaliamos gratuitamente seu imóvel.   Ref.: REO446153", 180000,600,27,70,2,0,1,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-penha-zona-norte-rio-de-janeiro-rj-70m2-id-2635850462/
Tauá, Rio de Janeiro,"Lote em condomínio no Condomínio Bosque Da Boiuna a venda em Beco Boiuna   Tauá   Rio de Janeiro/RJTerreno No Bosque da BoiunaDocumentos ok Tipo do imóvel: Lote em condomínioMetragem útil: 300m²Total dormitórios: 0Total suítes: 0Localização: Tauá | Rio de JaneiroValor: R$250.000Eu me especializei nessa região e tipo de imóvel, e com isso consigo te ajudar a tomar a melhor decisão e fazer um bom negócio.Fico bem próximo ao imóvel. Entre em contato e marcamos rapidamente a visita.Você pode clicar no botão ao lado ou me ligar Ainda não encontrou o imóvel dos seus sonhos? Clique no botão ao lado que em breve entraremos em contato para te ajudar nessa busca!A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhosAnúncio do corretor de imóveis Antonino Cardote CRECI: 079.499", 249080,100,300,300,0,1,0,0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-taua-ilha-do-governador-rio-de-janeiro-rj-300m2-id-2632285401/
Barra da Tijuca, Rio de Janeiro,"PORTELLA SM JARDIM OCEÂNICO VENDE:Ampla Cobertura duplex com 200m² no IPTU mas planta de 400m² com a área externa, clara e arejada, original 4 quartos, transformados em 3 quartos, sendo 2 suítes e terraço com piscina, sauna e churrasqueira.O primeiro andar da cobertura é composto por uma sala em 3 ambientes, 1 banheiro social, ampla copa cozinha com armários embutidos, área de serviço, 2 varandas grandes cobertas (uma na frente e outra nos fundos). Uma suíte master com 2 amplos closets que dão acesso a outro cômodo integrado que é utilizado como escritório com mesa para duas pessoas, banheiro grande com pia dupla, hidromassagem e armários embutidos além do espaçoso closet. A segunda suíte possui armários embutidos e banheiro com hidromassagem. Terceiro quarto com amplo espaço, claro e arejado.No segundo andar da cobertura temos um terraço amplo, com sala de convivência coberta por um lindo gazebo de madeira que se estende até o espaço gourmet com churrasqueira, sauna seca e piscina em um grande deck de madeira com uma lista vista para Pedra da Gávea.Cobertura com direito exclusivo a 2 salas no térreo do prédio que é utilizada hoje como um escritório com banheiro completo. O prédio tem uma ótima infra com salão de festas e playground e direito a 3 vagas cobertas de garagem na escritura. O valor está nas pessoas.Código 1742", 3100000,1800,7265,200,4,1,3,3,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-200m2-id-2635968960/
Copacabana, Rio de Janeiro,"LEG IMOB VENDE: Apartamento no Barrio de Copacabana. Excelente localização, prédio residencial, elevador social exclusivo, 1 por andar, frente e sol da manhã. Excelente sala dividida em 2 ambientes, 3 dormitórios amplos e com armários embutidos, 2 banheiros sociais com box, copa, cozinha muito ampla, 2 dormitórios de empregada, banheiro de empregada. Área de serviço com tanque e espaço para máquina de lavar. 1 Vaga escriturada. Imóvel com ótima planta, ambientes amplos, claro, arejado e silencioso. A 1 quadra da praia, próximo a supermercado, academias, drogarias, hortifrúti, bancos e bons restaurantes. Diversas linhas de ônibus para toda cidade, principais pontos turísticos e as outras praias da Zona Sul. Precisa de modernização!! IMÓVEL REMIDO DE FORO DA PREFEITURA!!! Ligue já e agende sua visita com um de nossos corretores!!! Nós da LEG IMOB temos imenso prazer em atendê lo!!!AVALIAMOS SEU IMÓVEL GRATUITAMENTE!!!www.legimob.com.brO VALOR DO IMÓVEL PODERÁ SER ALTERADO PELO PROPRIETÁRIO SEM QUALQUER AVISO PRÉVIO!!!", 1750000,1800,594,143,3,0,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-copacabana-zona-sul-rio-de-janeiro-rj-143m2-id-2640206673/
